,values,ind
1,8.25,Chemistry
2,5.2,Math
3,4.4,Math
4,5.4,Math
5,3.4,Math
6,1.25,Physics
7,4.2,Math
8,4.6,Math
9,5.2,Math
10,6.2,Math
11,4.5,Chemistry
12,4.2,Math
13,7,Math
14,4,Math
15,5,Chemistry
16,6.6,Math
17,3.4,Math
18,3.5,Chemistry
19,2.2,Math
20,4,Chemistry
21,2,Math
22,5.6,Math
23,3.25,Chemistry
24,5.75,Physics
25,5.25,Physics
26,4,Chemistry
27,2.25,Physics
28,5.4,Math
29,5.25,Chemistry
30,6.75,Physics
31,5.8,Math
32,6.25,Physics
33,4.25,Physics
34,8.25,Physics
35,6.2,Math
36,2.6,Math
37,5,Math
38,7.75,Physics
39,2.75,Physics
40,6.25,Physics
41,4.4,Math
42,5.8,Math
43,3,Chemistry
44,4,Math
45,3.75,Physics
46,4,Math
47,6.2,Math
48,7,Math
49,4.2,Math
50,3.6,Math
51,5.6,Math
52,4.2,Math
53,4.25,Physics
54,6.6,Math
55,7.6,Math
56,6,Physics
57,7.75,Physics
58,6.5,Physics
59,3.5,Physics
60,8,Physics
61,3.8,Math
62,6,Chemistry
63,4.75,Chemistry
64,2.8,Math
65,2.4,Math
66,7.2,Math
67,6.4,Math
68,6,Chemistry
69,5.5,Physics
70,6.6,Math
71,6.4,Math
72,4,Math
73,5.25,Chemistry
74,3.4,Math
75,5.75,Physics
76,5.25,Physics
77,4.8,Math
78,6.75,Chemistry
79,6.5,Chemistry
80,6.8,Math
81,5.25,Physics
82,4.4,Math
83,7.25,Physics
84,6.4,Math
85,6.75,Physics
86,3.75,Physics
87,5.25,Chemistry
88,6.2,Math
89,3.6,Math
90,6.75,Physics
91,6.6,Math
92,5.4,Math
93,6,Math
94,6,Physics
95,3.4,Math
96,6.75,Physics
97,7,Math
98,5.4,Math
99,7.6,Math
100,4.5,Physics
101,3.4,Math
102,2,Math
103,4,Math
104,4.2,Math
105,6.5,Physics
106,4.8,Math
107,3.25,Physics
108,2.8,Math
109,6.8,Math
110,5,Math
111,3.8,Math
112,5.75,Physics
113,3.8,Math
114,3.8,Math
115,4,Math
116,3,Physics
117,3.6,Math
118,6.25,Chemistry
119,2.8,Math
120,5.75,Physics
121,3.5,Chemistry
122,5.8,Math
123,5.6,Math
124,3.25,Physics
125,4.5,Physics
126,3.5,Physics
127,1.8,Math
128,3.5,Physics
129,5.6,Math
130,3.6,Math
131,4.5,Physics
132,5.2,Math
133,5,Math
134,5.2,Math
135,3,Math
136,4,Math
137,5.2,Math
138,6.4,Math
139,7.25,Chemistry
140,5.4,Math
141,3.5,Physics
142,4,Math
143,4.5,Physics
144,3,Math
145,8.2,Math
146,3,Math
147,5.2,Math
148,7.8,Math
149,5.75,Chemistry
150,3.25,Physics
151,4.25,Chemistry
152,5.8,Math
153,6.5,Chemistry
154,3.4,Math
155,5,Math
156,6.5,Physics
157,4.5,Chemistry
158,2.4,Math
159,5.2,Math
160,6.25,Chemistry
161,5.5,Physics
162,5.6,Math
163,5,Chemistry
164,7,Math
165,3.2,Math
166,4.8,Math
167,3.6,Math
168,5.25,Chemistry
169,3,Math
170,5,Physics
171,4.2,Math
172,3.75,Physics
173,7.25,Chemistry
174,2.75,Physics
175,2.4,Math
176,4.2,Math
177,7.6,Math
178,3,Chemistry
179,3.2,Math
180,3.5,Physics
181,7.75,Chemistry
182,3,Math
183,7,Math
184,4.8,Math
185,4.2,Math
186,8.5,Chemistry
187,4.8,Math
188,4.8,Math
189,2.8,Math
190,3.5,Chemistry
191,6.75,Physics
192,5.2,Math
193,7.75,Chemistry
194,5.2,Math
195,5.5,Chemistry
196,4.6,Math
197,8,Physics
198,5.2,Math
199,5.25,Physics
200,3.75,Physics
201,3.6,Math
202,5,Physics
203,5.25,Physics
204,4.8,Math
205,4,Math
206,6,Physics
207,3.4,Math
208,7,Math
209,4.75,Physics
210,4,Chemistry
211,6,Math
212,3.2,Math
213,1.6,Math
214,5.4,Math
215,3,Math
216,5.25,Physics
217,4.25,Physics
218,3.75,Chemistry
219,4.8,Math
220,5,Physics
221,5.5,Chemistry
222,7.2,Math
223,7.5,Physics
224,5.6,Math
225,3,Math
226,3.4,Math
227,4.75,Physics
228,5.5,Chemistry
229,2,Chemistry
230,2.75,Chemistry
231,6,Chemistry
232,5.5,Physics
233,4.5,Chemistry
234,6.5,Chemistry
235,5.5,Chemistry
236,1.75,Chemistry
237,3,Physics
238,5.4,Math
239,4.2,Math
240,3,Chemistry
241,6,Chemistry
242,5.5,Physics
243,5.6,Math
244,4,Math
245,7,Chemistry
246,3.25,Physics
247,5.5,Physics
248,4,Chemistry
249,2,Chemistry
250,7,Physics
251,4.8,Math
252,3.5,Physics
253,6.4,Math
254,2.2,Math
255,4.75,Physics
256,5.6,Math
257,4.8,Math
258,4.75,Physics
259,3,Math
260,4,Physics
261,4.75,Physics
262,5.5,Chemistry
263,4.6,Math
264,5.75,Chemistry
265,2.25,Physics
266,5.6,Math
267,2.6,Math
268,2.25,Physics
269,4.5,Chemistry
270,4,Chemistry
271,4.75,Physics
272,3.5,Chemistry
273,4.25,Chemistry
274,5.2,Math
275,2.75,Chemistry
276,5.75,Physics
277,8.5,Chemistry
278,5,Physics
279,4.6,Math
280,5.4,Math
281,3.5,Chemistry
282,3.5,Chemistry
283,6.6,Math
284,6,Physics
285,6.25,Physics
286,3.8,Math
287,7.6,Math
288,6.75,Chemistry
289,6.6,Math
290,5.6,Math
291,2.5,Chemistry
292,4.2,Math
293,3.6,Math
294,5.6,Math
295,3.75,Physics
296,5,Chemistry
297,5.75,Physics
298,5.5,Physics
299,6,Chemistry
300,5,Chemistry
301,4.4,Math
302,4.2,Math
303,5.4,Math
304,3.5,Chemistry
305,3.2,Math
306,5.4,Math
307,4,Chemistry
308,4.6,Math
309,6.25,Chemistry
310,5.5,Chemistry
311,5.5,Chemistry
312,8.5,Chemistry
313,3.25,Chemistry
314,7.5,Chemistry
315,3.6,Math
316,4.2,Math
317,2,Math
318,5.8,Math
319,5.2,Math
320,2,Chemistry
321,5.5,Physics
322,3.75,Chemistry
323,8,Math
324,3.75,Physics
325,5.25,Chemistry
326,5.6,Math
327,3.25,Physics
328,5,Math
329,2.8,Math
330,4,Math
331,2.5,Physics
332,5,Math
333,3,Physics
334,5,Chemistry
335,5,Math
336,4.75,Chemistry
337,7.5,Chemistry
338,5.25,Physics
339,5,Physics
340,2.8,Math
341,6,Math
342,5.25,Chemistry
343,4.8,Math
344,8.25,Chemistry
345,6.2,Math
346,3.8,Math
347,5.5,Chemistry
348,4.5,Physics
349,6,Math
350,9,Chemistry
351,5.2,Math
352,5.8,Math
353,3.8,Math
354,1.8,Math
355,2.8,Math
356,5.75,Physics
357,4.75,Physics
358,6.2,Math
359,3.25,Chemistry
360,2.4,Math
361,6.5,Chemistry
362,4.4,Math
363,4.4,Math
364,7.5,Chemistry
365,4.2,Math
366,5.6,Math
367,5.4,Math
368,5,Math
369,3.25,Chemistry
370,5,Physics
371,6.2,Math
372,6.4,Math
373,4.4,Math
374,5.8,Math
375,4.5,Chemistry
376,3.75,Chemistry
377,1.2,Math
378,2.5,Physics
379,3.5,Physics
380,4.5,Physics
381,4.75,Chemistry
382,4.5,Chemistry
383,5.2,Math
384,4.6,Math
385,2.75,Chemistry
386,5.6,Math
387,6,Math
388,6.6,Math
389,7.2,Math
390,8.5,Chemistry
391,5.6,Math
392,5.25,Chemistry
393,4.75,Chemistry
394,4.6,Math
395,3,Physics
396,5.5,Chemistry
397,6.6,Math
398,4,Chemistry
399,3.2,Math
400,6.2,Math
401,3,Math
402,2.4,Math
403,2.8,Math
404,2.25,Chemistry
405,5.6,Math
406,6.2,Math
407,5.5,Chemistry
408,5.6,Math
409,6.8,Math
410,6.75,Physics
411,6,Math
412,4.2,Math
413,4.8,Math
414,6.6,Math
415,2.4,Math
416,6.6,Math
417,3.2,Math
418,4.4,Math
419,5.75,Physics
420,5.25,Physics
421,3.25,Physics
422,5.8,Math
423,6.2,Math
424,7.6,Math
425,4,Physics
426,5.2,Math
427,6.6,Math
428,7.25,Chemistry
429,4,Chemistry
430,4.5,Chemistry
431,3.5,Physics
432,4.6,Math
433,3,Math
434,4.75,Chemistry
435,4.25,Physics
436,7.25,Physics
437,3.6,Math
438,7,Math
439,6.6,Math
440,3,Chemistry
441,6.4,Math
442,6,Math
443,5,Math
444,5,Math
445,5.2,Math
446,5.8,Math
447,7.2,Math
448,4.75,Chemistry
449,3.6,Math
450,4.75,Chemistry
451,6,Math
452,6,Math
453,3,Physics
454,4.2,Math
455,3.75,Chemistry
456,6.75,Chemistry
457,3.4,Math
458,5,Chemistry
459,3.5,Physics
460,4.75,Physics
461,4.75,Physics
462,3.75,Chemistry
463,5.25,Physics
464,6,Physics
465,8,Physics
466,3.5,Chemistry
467,4.5,Physics
468,4.6,Math
469,5.4,Math
470,6.2,Math
471,3.4,Math
472,3.5,Chemistry
473,6.4,Math
474,4.8,Math
475,3.5,Chemistry
476,6.75,Physics
477,5.25,Chemistry
478,4.2,Math
479,4.25,Chemistry
480,2,Chemistry
481,3,Chemistry
482,1.75,Physics
