price,fueltype,cylindernumber,enginesize,horsepower
13495,1,4,130,111
16500,1,4,130,111
16500,1,6,152,154
13950,1,4,109,102
17450,1,5,136,115
15250,1,5,136,110
17710,1,5,136,110
18920,1,5,136,110
23875,1,5,131,140
17859167,1,5,131,160
16430,1,4,108,101
16925,1,4,108,101
20970,1,6,164,121
21105,1,6,164,121
24565,1,6,164,121
30760,1,6,209,182
41315,1,6,209,182
36880,1,6,209,182
5151,1,3,61,48
6295,1,4,90,70
6575,1,4,90,70
5572,1,4,90,68
6377,1,4,90,68
7957,1,4,98,102
6229,1,4,90,68
6692,1,4,90,68
7609,1,4,90,68
8558,1,4,98,102
8921,1,4,122,88
12964,1,4,156,145
6479,1,4,92,58
6855,1,4,92,76
5399,1,4,79,60
6529,1,4,92,76
7129,1,4,92,76
7295,1,4,92,76
7295,1,4,92,76
7895,1,4,110,86
9095,1,4,110,86
8845,1,4,110,86
10295,1,4,110,86
12945,1,4,110,101
10345,1,4,110,100
6785,1,4,111,78
89165,1,4,90,70
89165,1,4,90,70
11048,1,4,119,90
32250,1,6,258,176
35550,1,6,258,176
36000,1,12,326,262
5195,1,4,91,68
6095,1,4,91,68
6795,1,4,91,68
6695,1,4,91,68
7395,1,4,91,68
10945,1,2,70,101
11845,1,2,70,101
13645,1,2,70,101
15645,1,2,80,135
8845,1,4,122,84
8495,1,4,122,84
10595,1,4,122,84
10245,1,4,122,84
10795,2,4,122,64
11245,1,4,122,84
18280,1,4,140,120
18344,2,4,134,72
25552,2,5,183,123
28248,2,5,183,123
28176,2,5,183,123
31600,2,5,183,123
34184,1,8,234,155
35056,1,8,234,155
40960,1,8,308,184
45400,1,8,304,184
16503,1,4,140,175
5389,1,4,92,68
6189,1,4,92,68
6669,1,4,92,68
7689,1,4,98,102
9959,1,4,110,116
8499,1,4,122,88
12629,1,4,156,145
14869,1,4,156,145
14489,1,4,156,145
6989,1,4,122,88
8189,1,4,122,88
9279,1,4,110,116
9279,1,4,110,116
5499,1,4,97,69
7099,2,4,103,55
6649,1,4,97,69
6849,1,4,97,69
7349,1,4,97,69
7299,1,4,97,69
7799,1,4,97,69
7499,1,4,97,69
7999,1,4,97,69
8249,1,4,97,69
8949,1,4,120,97
9549,1,4,120,97
13499,1,6,181,152
14399,1,6,181,152
13499,1,6,181,152
17199,1,6,181,160
19699,1,6,181,200
18399,1,6,181,160
11900,1,4,120,97
13200,2,4,152,95
12440,1,4,120,97
13860,2,4,152,95
15580,1,4,120,95
16900,2,4,152,95
16695,1,4,120,95
17075,2,4,152,95
16630,1,4,120,97
17950,2,4,152,95
18150,1,4,134,142
5572,1,4,90,68
7957,1,4,98,102
6229,1,4,90,68
6692,1,4,90,68
7609,1,4,98,68
8921,1,4,122,88
12764,1,4,156,145
22018,1,4,151,143
32528,1,6,194,207
34028,1,6,194,207
37028,1,6,194,207
314005,1,8,203,288
9295,1,4,132,90
9895,1,4,132,90
11850,1,4,121,110
12170,1,4,121,110
15040,1,4,121,110
15510,1,4,121,110
18150,1,4,121,160
18620,1,4,121,160
5118,1,4,97,69
7053,1,4,108,73
7603,1,4,108,73
7126,1,4,108,82
7775,1,4,108,82
9960,1,4,108,94
9233,1,4,108,82
11259,1,4,108,111
7463,1,4,108,82
10198,1,4,108,94
8013,1,4,108,82
11694,1,4,108,111
5348,1,4,92,62
6338,1,4,92,62
6488,1,4,92,62
6918,1,4,92,62
7898,1,4,92,62
8778,1,4,92,62
6938,1,4,98,70
7198,1,4,98,70
7898,2,4,110,56
7788,2,4,110,56
7738,1,4,98,70
8358,1,4,98,70
9258,1,4,98,70
8058,1,4,98,70
8238,1,4,98,70
9298,1,4,98,112
9538,1,4,98,112
8449,1,4,146,116
9639,1,4,146,116
9989,1,4,146,116
11199,1,4,146,116
11549,1,4,146,116
17669,1,4,146,116
8948,1,4,122,92
10698,2,4,110,73
9988,1,4,122,92
10898,1,4,122,92
11248,1,4,122,92
16558,1,6,171,161
15998,1,6,171,161
15690,1,6,171,156
15750,1,6,161,156
7775,2,4,97,52
7975,1,4,109,85
7995,2,4,97,52
8195,1,4,109,85
8495,1,4,109,85
9495,2,4,97,68
9995,1,4,109,100
11595,1,4,109,90
9980,1,4,109,90
13295,1,5,136,110
13845,2,4,97,68
12290,1,4,109,88
12940,1,4,141,114
13415,1,4,141,114
15985,1,4,141,114
16515,1,4,141,114
18420,1,4,130,162
18950,1,4,130,162
16845,1,4,141,114
19045,1,4,141,160
21485,1,6,173,134
22470,2,6,145,106
22625,1,4,141,114
