Date,Country,Commodity,Weekly Exports CMY
01-01-21,VIETNAM,Soybeans,80000
01-07-21,VIETNAM,Soybeans,89666
1-14-2021,VIETNAM,Soybeans,22648
1-21-2021,VIETNAM,Soybeans,11100
1-28-2021,VIETNAM,Soybeans,14741
02-04-21,VIETNAM,Soybeans,80491
02-11-21,VIETNAM,Soybeans,9350
2-18-2021,VIETNAM,Soybeans,34208
2-25-2021,VIETNAM,Soybeans,7720
03-04-21,VIETNAM,Soybeans,28626
03-11-21,VIETNAM,Soybeans,10166
3-18-2021,VIETNAM,Soybeans,3506
3-25-2021,VIETNAM,Soybeans,8019
04-01-21,VIETNAM,Soybeans,5048
04-08-21,VIETNAM,Soybeans,25426
4-15-2021,VIETNAM,Soybeans,4004
4-22-2021,VIETNAM,Soybeans,5563
4-29-2021,VIETNAM,Soybeans,6955
05-06-21,VIETNAM,Soybeans,3467
5-13-2021,VIETNAM,Soybeans,2951
5-20-2021,VIETNAM,Soybeans,6661
5-27-2021,VIETNAM,Soybeans,6229
06-03-21,VIETNAM,Soybeans,5197
06-10-21,VIETNAM,Soybeans,9895
6-17-2021,VIETNAM,Soybeans,8228
6-24-2021,VIETNAM,Soybeans,7474
07-01-21,VIETNAM,Soybeans,6494
07-08-21,VIETNAM,Soybeans,4730
7-15-2021,VIETNAM,Soybeans,4416
7-22-2021,VIETNAM,Soybeans,3017
7-29-2021,VIETNAM,Soybeans,39464
08-05-21,VIETNAM,Soybeans,2135
08-12-21,VIETNAM,Soybeans,1683
8-19-2021,VIETNAM,Soybeans,6513
8-26-2021,VIETNAM,Soybeans,7271
09-02-21,VIETNAM,Soybeans,5027
09-09-21,VIETNAM,Soybeans,3477
9-16-2021,VIETNAM,Soybeans,1883
9-23-2021,VIETNAM,Soybeans,4374
9-30-2021,VIETNAM,Soybeans,5353
10-07-21,VIETNAM,Soybeans,1342
10-14-2021,VIETNAM,Soybeans,8214
10-21-2021,VIETNAM,Soybeans,7808
10-28-2021,VIETNAM,Soybeans,6546
11-04-21,VIETNAM,Soybeans,6824
11-11-21,VIETNAM,Soybeans,7498
11-18-2021,VIETNAM,Soybeans,1376
11-25-2021,VIETNAM,Soybeans,40436
12-02-21,VIETNAM,Soybeans,70439
12-09-21,VIETNAM,Soybeans,5075
12-16-2021,VIETNAM,Soybeans,15522
12-23-2021,VIETNAM,Soybeans,9270
12-30-2021,VIETNAM,Soybeans,6307
